OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),DefaultData,ComplianceStatus,Outlier,BuildingAge,ParkingRatio,BuildingAreaRatio,EnergyUsePerArea,ElectricityIntensity,LargestUseRatio,GHGPerArea,LatitudeBand
1,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.6122,-122.33799,1.0,12,88434,0,88434,Hotel,Hotel,,,,,60.0,81.69999695,84.30000305,182.5,189.0,7226362.5,7456910.0,2003882.0,False,Compliant,,89,0.0,1.0,81.7147533753986,81.7147533753986,1.0,0.002826740846280842,47.6
2,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.61317,-122.33393,1.0,11,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,Parking,15064.0,Restaurant,4622.0,61.0,94.80000305,97.90000153,176.1000061,179.3999939,8387933.0,8664479.0,0.0,False,Compliant,,20,0.1454531409922175,0.8545468590077825,80.99118436552537,80.99118436552537,0.8099183129598517,0.002856729042349806,47.6
3,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.61393,-122.3381,1.0,41,956110,196718,759392,Hotel,Hotel,,,,,43.0,96.0,97.69999695,241.8999939,244.1000061,72587024.0,73937112.0,21566554.0,False,Compliant,,47,0.20574829256047944,0.7942517074395206,75.91911390948741,75.91911390948741,0.791219629540534,0.0021851878967901186,47.6
5,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.61412,-122.33664,1.0,10,61320,0,61320,Hotel,Hotel,,,,,56.0,110.8000031,113.3000031,216.1999969,224.0,6794584.0,6946800.5,2214446.25,False,Compliant,,90,0.0,1.0,110.80534898891064,110.80534898891064,1.0,0.004671069797782127,47.6
10,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.6139,-122.33283,1.0,11,83008,0,83008,Hotel,Hotel,,,,,27.0,70.80000305,74.5,146.6000061,154.6999969,5758795.0,6062767.5,0.0,False,Compliant,,90,0.0,1.0,69.37638540863531,69.37638540863531,0.9800501156515035,0.002121964148033924,47.6
11,2016,NonResidential,Other,98101.0,7,DOWNTOWN,47.61327,-122.33136,1.0,8,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,,,,,,61.29999924,68.80000305,141.6999969,152.3000031,6298131.5,7067881.5,2276286.5,False,Compliant,,90,0.0,1.0,61.28912233240237,61.28912233240237,1.0,0.002155584317007425,47.6
12,2016,NonResidential,Hotel,98104.0,7,DOWNTOWN,47.60294,-122.33263,1.0,15,163984,0,163984,Hotel,Hotel,,,,,43.0,83.69999695,86.59999847,180.8999939,187.1999969,13723820.0,14194054.0,0.0,False,Compliant,,112,0.0,1.0,83.68999414577031,83.68999414577031,1.0,0.0023914528246658214,47.6
13,2016,Multifamily MR (5-9),Mid-Rise Multifamily,98104.0,7,DOWNTOWN,47.60284,-122.33184,1.0,6,63712,1496,62216,Multifamily Housing,Multifamily Housing,,,,,1.0,81.5,85.59999847,182.6999969,187.3999939,4573777.0,4807679.5,1039735.188,False,Compliant,,106,0.023480662983425413,0.9765193370165746,71.78831303365143,71.78831303365143,0.8810271220492215,0.002371923656454043,47.6
16,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.60713,-122.33323,1.0,25,333176,61161,272015,Hotel,Hotel,,,,,36.0,80.0,80.40000153,199.0,199.3999939,26941110.0,27070114.0,5999360.5,False,Compliant,,18,0.18356964487237976,0.8164303551276202,80.86149662640767,80.86149662640767,1.0103969073402645,0.0022239597089826397,47.6
17,2016,NonResidential,Hotel,98104.0,7,DOWNTOWN,47.60699,-122.33346,1.0,9,65009,0,65009,Hotel,Hotel,,,,,48.0,101.5,97.80000305,153.6000061,149.8000031,6596057.5,6358719.5,1656352.5,False,Compliant,,88,0.0,1.0,101.46375886415727,101.46375886415727,1.0,0.005048993216323894,47.6
18,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.60809,-122.33212,1.0,33,315952,57600,258352,"Hotel, Parking",Hotel,Parking,57600.0,,,58.0,75.5,76.19999695,179.8999939,180.6999969,22325364.0,22524948.0,4337738.5,False,Compliant,,36,0.18230617308958322,0.8176938269104168,70.66061933458246,70.66061933458246,0.9353034638172887,0.002052906770648706,47.6
21,2016,Nonresidential COS,Other,98154.0,7,DOWNTOWN,47.60649,-122.33297,1.0,11,412000,57000,355000,"Data Center, Library, Parking",Library,Parking,49000.0,Data Center,1074.0,,50.79999924,51.09999847,155.6000061,156.0,18588860.0,18706912.0,737559.5,False,Compliant,,12,0.1383495145631068,0.8616504854368932,45.11859223300971,45.11859223300971,0.8857111650485436,0.00044024271844660194,47.6
22,2016,NonResidential,Other,98104.0,7,DOWNTOWN,47.60546,-122.33279,1.0,6,103911,0,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,Office,40000.0,Swimming Pool,0.0,,76.59999847,78.40000153,157.3999939,159.6000061,9956396.0,10192124.0,4592347.5,False,Compliant,,86,0.0,1.0,95.81657379873161,95.81657379873161,0.8661258192106707,0.00417530386580824,47.6
23,2016,NonResidential,Hotel,98104.0,7,DOWNTOWN,47.60681,-122.33078,1.0,28,416281,85000,331281,"Hotel, Parking",Hotel,Parking,85000.0,,,31.0,96.30000305,98.59999847,228.5,232.8000031,33556756.0,34351920.0,0.0,False,Compliant,,33,0.20418899733593415,0.7958110026640659,80.6108277821952,80.6108277821952,0.8367641088591601,0.0019287212243652724,47.6
25,2016,NonResidential,Hotel,98104.0,7,DOWNTOWN,47.60376,-122.33194,1.0,10,104352,0,104352,Hotel,Hotel,,,,,39.0,97.30000305,97.30000305,225.5,225.5,10154608.0,10154608.0,3430862.0,False,Compliant,,100,0.0,1.0,97.31110088929776,97.31110088929776,1.0,0.0033475160993560256,47.6
